1:  17/63x48÷17=16/21
2:  (3÷92)+44=44’3/92
3:  34÷(94+60)=17/77
4:  19+(38÷46)=19’19/23
5:  69÷15/32-97=50’1/5
6:  (39-25)-78/12=7’1/2
7:  (9x3)÷67=27/67
8:  (42x46)/55+38=73’7/55
9:  18+3x43=147
10:  (58-7)x88=4488
11:  97÷57x31/45=1’442/2565
12:  (31÷37)+12=12’31/37
13:  (77+33)/75+31=32’7/15
14:  (68-60)÷12=2/3
15:  29x36+26=1070
16:  14+(89÷34)=16’21/34
17:  (84/28÷10)x92/62=69/155
18:  4/10x43x71=1221’1/5
19:  (90x98)/26-33=306’3/13
20:  92-85/93÷99=91’9122/9207
21:  (14÷2)x41=287
22:  72÷47/77÷16=7’35/94
23:  9÷37x96/42=144/259
24:  7+(57+27)=91
25:  12+56-10=58
26:  91x(50+24)/41=164’10/41
27:  (78/31+92)-85=9’16/31
28:  28/75+71-96/52=69’514/975
29:  (76x53)/41+49/84=98’407/492
30:  30+37÷92=30’37/92
31:  36+92x21=1968
32:  75+(53x25)/68=94’33/68
33:  (30÷12)+40=42’1/2
34:  (36-29)x59=413
35:  81÷(90+20)/36=26’28/55
36:  86÷84+53=54’1/42
37:  66x48/64+30/81=49’47/54
38:  (58+66)-23=101
39:  6-(18÷5)=2’2/5
40:  76-(26/67+10)=65’41/67
41:  (11x22)÷77=3’1/7
42:  54÷77÷40=27/1540
43:  73-55÷30=71’1/6
44:  62x97÷54/92=10246’2/27
45:  (97÷27)÷87=97/2349
46:  (34x45)÷26=58’11/13
47:  77-67÷88=76’21/88
48:  (69÷32)x73=157’13/32
49:  33÷78/50x68/94=15’185/611
50:  36+(65+97)=198
51:  59x73x97/45=9283’44/45
52:  31+33-50/40=62’3/4
53:  (87÷37)÷9/98=25’67/111
54:  (100/15÷67)÷47=20/9447
55:  20x69-14/10=1378’3/5
56:  (61-25)+2/76=36’1/38
57:  82÷71+57/49=2’1107/3479
58:  (56-19)÷84=37/84
59:  14÷(72÷85)=16’19/36
60:  91÷5x85/87=17’68/87
61:  25/97+(58+55)=113’25/97
62:  76-(28÷93)=75’65/93
63:  7x(64÷45)=9’43/45
64:  80-13-54/33=65’4/11
65:  58+85/42+78=138’1/42
66:  (28-22)/4x43=64’1/2
67:  40/29+(1+64)=66’11/29
68:  (39+5)/24-8/54=1’37/54
69:  87-(31÷93)=86’2/3
70:  99÷26/75x85=24274’1/26
71:  24/17+(83-78)=6’7/17
72:  96x4÷100=3’21/25
73:  58x71÷57=72’14/57
74:  4÷86+97=97’2/43
75:  70x(4+83)=6090
76:  (7+27)+70=104
77:  (58+23)x77=6237
78:  96+17/39-28=68’17/39
79:  77x65+94=5099
80:  91x(73+36)=9919
81:  (79+66)÷69=2’7/69
82:  35÷25÷50=7/250
83:  (71+52)+9=132
84:  (85+15)-26/93=99’67/93
85:  19+74x6=463
86:  97+(32/7x98)=545
87:  20÷(69x17)=20/1173
88:  55/82+(32÷86)/100=59453/88150
89:  (87x35)÷44=69’9/44
90:  29x(41-35)=174
91:  (24÷83)÷74=12/3071
92:  75/6+17÷12=13’11/12
93:  (36/29÷26)x3=54/377
94:  79/9+(86x94)=8092’7/9
95:  66÷72/36x98=3234
96:  13/15÷30+51=51’13/450
97:  (47÷32)+45/70=2’25/224
98:  70x(29-8)=1470
99:  (80-19)x8=488
100:  (27/1+37)÷69=64/69
101:  31+75x7/9=89’1/3
102:  15x65-51=924
103:  (27/7÷51)÷78=3/3094
104:  (55/33÷46)÷49=5/6762
105:  74÷(89/75x44)=1’817/1958
106:  (74x15)÷78=14’3/13
107:  19x2-79/52=36’25/52
108:  (52/4x87)/34x64=2128’16/17
109:  (26÷19)+66=67’7/19
110:  15x36/54x39=390
111:  21+81+30=132
112:  71x(68/48+85)=6135’7/12
113:  (70x48)÷17=197’11/17
114:  53/30-(74-34)/80=1’4/15
115:  98+(44+61)=203
116:  68x60+13/84=4080’13/84
117:  (84/56÷10)÷42=1/280
118:  48-(84-1)/68=46’53/68
119:  (2÷38)x74=3’17/19
120:  59÷(32/50x6)/35=537’73/96
121:  67/100+(75+39)=114’67/100
122:  9x(32+30)=558
123:  (99-13)+15=101
124:  (96-77)+88=107
125:  (11+73)÷38=2’4/19
126:  21÷23÷58=21/1334
127:  (98x3)+85=379
128:  17x85-16=1429
129:  75+(40÷11)=78’7/11
130:  (19+83)÷43=2’16/43
131:  48x19/59x45=695’35/59
132:  70÷42÷4=5/12
133:  21-87/59÷77=20’4456/4543
134:  93x94/61x29/29=143’19/61
135:  66÷7/81÷35=21’201/245
136:  63x(75÷27)=175
137:  61+(70x12)/10=145
138:  11+7x87/39=26’8/13
139:  18/40+(9÷96)=87/160
140:  92÷(80x42)/79=2’137/840
141:  79/19x(80÷93)=3’1019/1767
142:  57/53x64÷14/76=373’241/371
143:  26/29x10x6=53’23/29
144:  39+2+65=106
145:  (60/17÷20)+100/91=1’426/1547
146:  70/19+45+30=78’13/19
147:  58x99x71=407682
148:  (94-59)+28/28=36
149:  (46x26)÷48=24’11/12
150:  (63÷74)÷72=7/592
151:  47x65x80=244400
152:  (39x27)+14=1067
153:  73/100÷13x66=3’459/650
154:  5÷(28/93x86)=465/2408
155:  87x(97+100)=17139
156:  57+11÷77=57’1/7
157:  54/40+77x4=309’7/20
158:  (22+58)+94=174
159:  (48/7+72)+33=111’6/7
160:  15/19+43+30=73’15/19
161:  87-(94-57)=50
162:  43/29+64x90=5761’14/29
163:  29x68x80=157760
164:  (84÷32)x51=133’7/8
165:  100÷(95/28x61)/62=29’1109/1159
166:  42x54x49=111132
167:  97x5+70=555
168:  54-9+1/98=45’1/98
169:  84x(45÷63)=60
170:  21+3x97=312
171:  59+34-86=7
172:  4+(47/94x62)=35
173:  19x37-93=610
174:  16x49x91/83=859’47/83
175:  23x(82-48)/98=7’48/49
176:  (49÷21)+4=6’1/3
177:  77÷57+80=81’20/57
178:  86÷41x96/28=7’55/287
179:  70-(77÷95)=69’18/95
180:  (27+5)-24=8
181:  (11÷52)÷99/33=11/156
182:  85÷49/3x99=515’10/49
183:  (66+25)÷11=8’3/11
184:  77+(53-10)=120
185:  (99+33)x38=5016
186:  (66/85+18)÷72=133/510
187:  30-26+80=84
188:  79+(89÷10)=87’9/10
189:  (51-16)÷29=1’6/29
190:  (1÷30)x48/44=2/55
191:  20÷11+4/62=1’301/341
192:  56-50+57/4=20’1/4
193:  (68/22+85)+63=151’1/11
194:  37x(26+31)=2109
195:  61÷3/8÷23=7’5/69
196:  73÷33x90/89=2’232/979
197:  92x22/6+85=422’1/3
198:  (52/32÷36)x9=13/32
199:  19/10÷(28x9)=19/2520
200:  12÷91+32=32’12/91
201:  58x(20/14+46)=2750’6/7
202:  (67÷11)÷37=67/407
203:  3÷1/23-66=3
204:  59/93÷81x24=472/2511
205:  (2÷5)x81/97=162/485
206:  63÷(77/9÷8)/66=3888
207:  62+53÷14=65’11/14
208:  48÷(98-7)=48/91
209:  (59÷88)+80/39=2’2477/3432
210:  (19x11)-28=181
211:  74x20÷80=18’1/2
212:  30-(8÷9)/13=29’109/117
213:  75+(28÷30)=75’14/15
214:  81x(83-75)=648
215:  80x74/57+34/15=106’12/95
216:  (87-17)+57=127
217:  38x34+89/88=1293’1/88
