1:  17/63x48÷17=
2:  (3÷92)+44=
3:  34÷(94+60)=
4:  19+(38÷46)=
5:  69÷15/32-97=
6:  (39-25)-78/12=
7:  (9x3)÷67=
8:  (42x46)/55+38=
9:  18+3x43=
10:  (58-7)x88=
11:  97÷57x31/45=
12:  (31÷37)+12=
13:  (77+33)/75+31=
14:  (68-60)÷12=
15:  29x36+26=
16:  14+(89÷34)=
17:  (84/28÷10)x92/62=
18:  4/10x43x71=
19:  (90x98)/26-33=
20:  92-85/93÷99=
21:  (14÷2)x41=
22:  72÷47/77÷16=
23:  9÷37x96/42=
24:  7+(57+27)=
25:  12+56-10=
26:  91x(50+24)/41=
27:  (78/31+92)-85=
28:  28/75+71-96/52=
29:  (76x53)/41+49/84=
30:  30+37÷92=
31:  36+92x21=
32:  75+(53x25)/68=
33:  (30÷12)+40=
34:  (36-29)x59=
35:  81÷(90+20)/36=
36:  86÷84+53=
37:  66x48/64+30/81=
38:  (58+66)-23=
39:  6-(18÷5)=
40:  76-(26/67+10)=
41:  (11x22)÷77=
42:  54÷77÷40=
43:  73-55÷30=
44:  62x97÷54/92=
45:  (97÷27)÷87=
46:  (34x45)÷26=
47:  77-67÷88=
48:  (69÷32)x73=
49:  33÷78/50x68/94=
50:  36+(65+97)=
51:  59x73x97/45=
52:  31+33-50/40=
53:  (87÷37)÷9/98=
54:  (100/15÷67)÷47=
55:  20x69-14/10=
56:  (61-25)+2/76=
57:  82÷71+57/49=
58:  (56-19)÷84=
59:  14÷(72÷85)=
60:  91÷5x85/87=
61:  25/97+(58+55)=
62:  76-(28÷93)=
63:  7x(64÷45)=
64:  80-13-54/33=
65:  58+85/42+78=
66:  (28-22)/4x43=
67:  40/29+(1+64)=
68:  (39+5)/24-8/54=
69:  87-(31÷93)=
70:  99÷26/75x85=
71:  24/17+(83-78)=
72:  96x4÷100=
73:  58x71÷57=
74:  4÷86+97=
75:  70x(4+83)=
76:  (7+27)+70=
77:  (58+23)x77=
78:  96+17/39-28=
79:  77x65+94=
80:  91x(73+36)=
81:  (79+66)÷69=
82:  35÷25÷50=
83:  (71+52)+9=
84:  (85+15)-26/93=
85:  19+74x6=
86:  97+(32/7x98)=
87:  20÷(69x17)=
88:  55/82+(32÷86)/100=
89:  (87x35)÷44=
90:  29x(41-35)=
91:  (24÷83)÷74=
92:  75/6+17÷12=
93:  (36/29÷26)x3=
94:  79/9+(86x94)=
95:  66÷72/36x98=
96:  13/15÷30+51=
97:  (47÷32)+45/70=
98:  70x(29-8)=
99:  (80-19)x8=
100:  (27/1+37)÷69=
101:  31+75x7/9=
102:  15x65-51=
103:  (27/7÷51)÷78=
104:  (55/33÷46)÷49=
105:  74÷(89/75x44)=
106:  (74x15)÷78=
107:  19x2-79/52=
108:  (52/4x87)/34x64=
109:  (26÷19)+66=
110:  15x36/54x39=
111:  21+81+30=
112:  71x(68/48+85)=
113:  (70x48)÷17=
114:  53/30-(74-34)/80=
115:  98+(44+61)=
116:  68x60+13/84=
117:  (84/56÷10)÷42=
118:  48-(84-1)/68=
119:  (2÷38)x74=
120:  59÷(32/50x6)/35=
121:  67/100+(75+39)=
122:  9x(32+30)=
123:  (99-13)+15=
124:  (96-77)+88=
125:  (11+73)÷38=
126:  21÷23÷58=
127:  (98x3)+85=
128:  17x85-16=
129:  75+(40÷11)=
130:  (19+83)÷43=
131:  48x19/59x45=
132:  70÷42÷4=
133:  21-87/59÷77=
134:  93x94/61x29/29=
135:  66÷7/81÷35=
136:  63x(75÷27)=
137:  61+(70x12)/10=
138:  11+7x87/39=
139:  18/40+(9÷96)=
140:  92÷(80x42)/79=
141:  79/19x(80÷93)=
142:  57/53x64÷14/76=
143:  26/29x10x6=
144:  39+2+65=
145:  (60/17÷20)+100/91=
146:  70/19+45+30=
147:  58x99x71=
148:  (94-59)+28/28=
149:  (46x26)÷48=
150:  (63÷74)÷72=
151:  47x65x80=
152:  (39x27)+14=
153:  73/100÷13x66=
154:  5÷(28/93x86)=
155:  87x(97+100)=
156:  57+11÷77=
157:  54/40+77x4=
158:  (22+58)+94=
159:  (48/7+72)+33=
160:  15/19+43+30=
161:  87-(94-57)=
162:  43/29+64x90=
163:  29x68x80=
164:  (84÷32)x51=
165:  100÷(95/28x61)/62=
166:  42x54x49=
167:  97x5+70=
168:  54-9+1/98=
169:  84x(45÷63)=
170:  21+3x97=
171:  59+34-86=
172:  4+(47/94x62)=
173:  19x37-93=
174:  16x49x91/83=
175:  23x(82-48)/98=
176:  (49÷21)+4=
177:  77÷57+80=
178:  86÷41x96/28=
179:  70-(77÷95)=
180:  (27+5)-24=
181:  (11÷52)÷99/33=
182:  85÷49/3x99=
183:  (66+25)÷11=
184:  77+(53-10)=
185:  (99+33)x38=
186:  (66/85+18)÷72=
187:  30-26+80=
188:  79+(89÷10)=
189:  (51-16)÷29=
190:  (1÷30)x48/44=
191:  20÷11+4/62=
192:  56-50+57/4=
193:  (68/22+85)+63=
194:  37x(26+31)=
195:  61÷3/8÷23=
196:  73÷33x90/89=
197:  92x22/6+85=
198:  (52/32÷36)x9=
199:  19/10÷(28x9)=
200:  12÷91+32=
201:  58x(20/14+46)=
202:  (67÷11)÷37=
203:  3÷1/23-66=
204:  59/93÷81x24=
205:  (2÷5)x81/97=
206:  63÷(77/9÷8)/66=
207:  62+53÷14=
208:  48÷(98-7)=
209:  (59÷88)+80/39=
210:  (19x11)-28=
211:  74x20÷80=
212:  30-(8÷9)/13=
213:  75+(28÷30)=
214:  81x(83-75)=
215:  80x74/57+34/15=
216:  (87-17)+57=
217:  38x34+89/88=
218:  53/92+(70÷56)=
219:  79÷(18x64)=
220:  92+(35/4÷45)=
221:  (95/76÷4)x66=
222:  (85+2)-82=
223:  62÷(82÷45)=
224:  84/73+(95/73x67)=
225:  38-30÷60=
226:  20+99+32=
227:  61+(55÷77)=
228:  47-100÷57=
229:  (10x28)-5/30=
230:  (77+16)/42x58=
231:  56-(67÷30)=
232:  (81+99)x8=
233:  (42÷88)x77=
234:  80x79+18=
235:  62+(39÷15)=
236:  (78-25)÷7=
237:  17÷(72÷77)=
238:  86÷13-97/67=
239:  (84-16)+72=
240:  (2x78)-4=
241:  64-(79÷82)=
242:  (84-20)x57=
243:  10+73x18/69=
244:  25-90÷7=
245:  58-58/79÷87=
246:  (48-1)+34/15=
247:  34x31-61=
248:  25÷(34+88)=
249:  (52/98÷57)x76=
250:  (7+1)/31+50=
251:  98/43-42÷96=
252:  (12x83)x42=
253:  62/38+(94x34)=
254:  36÷90+22=
255:  23/21+89-67=
256:  74/55+73x96=
257:  23/73÷10+85=
258:  (26+91)÷63=
259:  55+61+9=
260:  (89/93x98)x23=
261:  89-(80÷12)=
262:  82/4+(49-19)=
263:  1/22÷8x45/49=
264:  (31÷87)x23/1=
265:  36/51+(36/42+3)/97=
266:  3÷(22÷31)=
267:  8x(56/37+84)=
268:  17÷65÷11=
269:  54÷36x68=
270:  (84-62)÷51=
271:  (26/65+42)/34x13=
272:  86x17-27/50=
273:  (31-26)÷90=
274:  44÷(13/75x46)=
275:  (44/98x90)x93=
276:  26÷90÷38/60=
277:  65/19+94x74=
278:  (33÷43)÷52=
279:  4/43+92÷99/11=
280:  36÷96x77=
281:  (20+67)/80x16=
282:  60x(34+99)/15=
283:  21÷74/24÷37=
284:  20x51x5=
285:  61+(81+83)/39=
286:  43/40+(91-27)=
287:  18÷(24+43)=
288:  20-(18÷10)/28=
289:  85/67x69x57=
290:  67+88x77=
291:  (79÷52)+47=
292:  95-(2+53)=
293:  (36x84)÷15=
294:  (76/80x67)÷71=
295:  97+(85÷4)=
296:  84+20÷15=
297:  (76x88)+56=
298:  (91x68)/95x34=
299:  (41/11÷2)/20÷39/34=
300:  (69-21)/98÷9/22=
301:  13x(39+15)=
302:  (51x17)-49/97=
303:  (22/61x85)x47=
304:  (36/83+64)/62+29=
305:  (32+5)+18=
306:  (81x35)+7=
307:  5÷(6/58+59)=
308:  52-27+94=
309:  76÷(5÷80)=
310:  (23/27÷62)/31x87=
311:  97x66÷46=
312:  (26/57+97)+11=
313:  (22÷11)+80=
314:  72÷(56÷5)=
315:  (67/21+97)+3=
316:  (87x12)+39/18=
317:  100÷(57-48)=
318:  64x35÷95/29=
319:  35+3x39=
320:  98÷9÷8=
321:  (19/54÷39)+47=
322:  56÷(26/69÷20)=
323:  (52/38÷88)+91=
324:  78/76+(21+96)=
325:  65÷14+70=
326:  57+72x40=
327:  62x(32+77)=
328:  10÷(17x40)=
329:  (4+10)x3=
330:  85x(64÷24)=
331:  44x(81÷67)=
332:  49/86x10+57=
333:  48x97÷63=
334:  16-(1÷11)=
335:  84÷29+39=
336:  58+80x71=
337:  (45/67÷59)x90=
338:  (70x53)+67/23=
339:  51-82÷10=
340:  48+(37+8)=
341:  (87/9+55)/66x90=
342:  30÷28÷84/87=
343:  52/14x(93/30x53)/39=
344:  33+(57x73)=
345:  13+(47x75)=
346:  (80÷19)/89+24=
347:  99+40-69=
348:  58+99-82=
349:  92x53x71/79=
350:  (30÷45)/55+88=
351:  (63+92)-38=
352:  (17÷94)/3÷27=
353:  21/4x(47+95)=
354:  79/30÷32÷76=
355:  (97x49)x64=
356:  93+13÷44=
357:  42-(40/37x17)=
358:  78÷73x19/1=
359:  (16+49)x79=
360:  (76+2)-20/43=
361:  (87x61)÷50=
362:  46x(84/3÷61)=
363:  68÷(33/36÷90)=
364:  (77x70)+91=
365:  31+(48/76+52)=
366:  82-(55/81x89)=
367:  (75-2)÷95=
368:  (1+17)+75=
369:  13÷(49x87)/10=
370:  72x(38/55÷90)/99=
371:  52+23-60/99=
372:  (15+82)-70=
373:  51x63x29=
374:  73-77÷94/10=
375:  15x(93+54)/15=
376:  50÷58x81=
377:  76x95/95÷96=
378:  76+(73-8)=
379:  50/11x46÷41/16=
380:  (76/88x60)x85=
381:  54÷(97-32)=
382:  (72x14)x81=
383:  4÷39÷51=
384:  (25x15)+6=
385:  83-68÷73=
386:  23+(2x31)=
387:  39x(15/44÷98)=
388:  (23÷44)x63/57=
389:  36÷85÷50=
390:  (21÷86)x36=
391:  55-(33/53x52)/97=
392:  40x37x17=
393:  32÷83/34x62/14=
394:  8/10+21+4=
395:  25+5/59x2=
396:  60+81-80=
397:  (70-9)x92=
398:  83/80x(58-33)=
399:  33+81x27=
400:  47÷92÷38=
401:  14+(39/4x41)=
402:  76÷65/30+34=
403:  27+(62/45÷92)=
404:  26÷68+69/20=
405:  17/38x(3+79)=
406:  62+(16+85)/63=
407:  27÷(13x80)=
408:  (45+53)x19=
409:  (100÷87)/33x28=
410:  (27+59)-17/17=
411:  (17x91)÷27=
412:  64x(52/41x81)/44=
413:  17+47+83=
414:  33x(10÷59)/95=
415:  13+24÷45=
416:  11x57-23=
417:  40/57÷(100/34x15)=
418:  64x(47+46)=
419:  81+(51x48)=
420:  26÷32+69=
421:  (73÷41)x61=
422:  (30-14)/79x21/67=
423:  (39-6)÷17=
424:  (100÷51)-40/72=
425:  40÷(85-62)=
426:  79x(38÷48)=
427:  (65/89x31)÷22/16=
428:  29+(45x75)=
429:  (70+45)+3/28=
430:  (53x53)/74-74/24=
431:  8x(64x53)=
432:  30/48+(100÷59)=
433:  33/91x(86x96)=
434:  (55+81)/66+75=
435:  84x(6÷18)=
436:  65÷(3÷41)=
437:  (100/11+62)x78=
438:  76+59÷90/42=
439:  77/86÷51x55=
440:  35x(73-18)=
441:  (45÷40)x62=
442:  (65x98)x64=
443:  61-(81-23)=
444:  98+41x43/8=
445:  (88-11)÷75=
446:  64+75-36/60=
447:  46x(84+8)=
448:  67÷35+58/72=
449:  56x3x78=
450:  83x74÷67=
451:  42/91+65x67=
452:  39x44-77=
453:  58+(71/99+53)=
454:  (66÷34)÷24=
455:  (68-23)+57=
456:  69+(21÷67)=
457:  79/88÷14/19x66=
458:  15/56x5+98=
459:  (26÷5)/89x87=
460:  (48-43)x3=
461:  (8+77)÷45=
462:  17x10x7=
463:  47÷(95x65)/1=
464:  71x33+73=
465:  94x51÷59=
466:  84+95x89=
467:  97-(67x47)/72=
468:  7/3÷(37x12)/10=
469:  62+1+32/2=
470:  46+40÷67=
471:  2-(77÷88)=
472:  67÷(72/51x80)=
473:  75x59x97=
474:  (23+100)-38=
475:  (36x86)x16=
476:  48+37÷85=
477:  75x73x93=
478:  72/38÷32/27x63=
479:  86-58/18-25/75=
480:  (66-41)+7=
481:  98+27x62/89=
482:  87+(51-10)=
483:  (19÷44)+92=
484:  45÷(49÷90)=
485:  31+63/64÷85=
486:  94x94÷66=
487:  (80x60)/25÷11=
488:  (46-38)x52=
489:  (62x60)÷92=
490:  3x(75+43)=
491:  69÷(55-38)=
492:  (24÷14)÷65=
493:  (46+14)x58=
494:  79-22÷70=
495:  (81x78)-57=
496:  37/48+94/51+70=
497:  (97÷70)÷97=
498:  2/88÷(50/78÷50)=
499:  (89x75)x41/94=
500:  12x(25/2x42)/39=
501:  (42÷6)+32=
502:  41/67+8÷72=
503:  (14x70)+93=
504:  17÷(74x97)/57=
505:  (52/3x25)x20/31=
506:  (44x7)÷19=
507:  (76+15)+70=
508:  79÷(41+34)=
509:  72x29-47=
510:  (91÷83)/26x16=
511:  56x(24÷93)=
512:  97x34/4x16/58=
513:  64+(75x73)/57=
514:  65÷38+13=
515:  71÷(12+51)/85=
516:  (34+9)x29/13=
517:  35+78/61+56=
518:  2÷98+98=
519:  91/34÷82/5+11=
520:  (19÷36)+74=
521:  78÷53÷54=
522:  (89+32)+21=
523:  18-(33/55÷84)=
524:  98x32-77/27=
525:  45+(51÷61)=
526:  31-6+86=
527:  66-46+46=
528:  (71-59)x71=
529:  8÷(76-50)=
530:  73/51+(69/3+31)=
531:  (36/50x58)+58=
532:  66÷(57+12)=
533:  64+(29/80÷48)=
534:  48÷34/100x74=
535:  37-35/97÷1=
536:  33x(98x45)=
537:  (11÷81)/88÷11=
538:  (79/95÷62)÷24=
539:  88+76+55=
540:  4x80÷87=
541:  95+(91÷98)=
542:  32+(26÷68)=
543:  41x91x80=
544:  52+26/13x21=
545:  (72x19)-21=
546:  (49÷92)+96=
547:  78-64x47/68=
548:  (93/68+71)÷22/34=
549:  75÷(63x72)=
550:  (74÷34)+24=
551:  45÷26/25x79/33=
552:  25x(93x56)/44=
553:  50+(77-45)=
554:  (99/28x25)÷100/43=
555:  (78x79)-68/70=
556:  52x(63÷68)=
557:  94÷(6x51)=
558:  44÷85x55=
559:  79+(78+26)=
560:  (73-3)x2=
561:  40+55-4=
562:  59÷(73-27)=
563:  4÷55x82=
564:  (70x83)-85=
565:  48x(40+90)=
566:  (21x61)x92=
567:  19/11÷(2÷81)=
568:  99÷29÷4=
569:  24÷(55x46)=
570:  (26/54+51)/66+83/18=
571:  (94÷56)x14/57=
572:  (49+68)x55=
